"ID"	"log2FC"	"pvalue"	"padj"	"lfcSE"	"stat"	"observed_expression_in_control"	"condition"	"hgnc_symbol"	"entrezgene_id"	"ensembl_gene_id"
"ENSG00000276701"	0.755574858756803	0.276069314791914	0.989959430947316	0.693702302616701	1.08919179871065	"UP"	"control"	"MIF"	4282	"ENSG00000276701"
"ENSG00000111640"	0.729030686478935	0.206435756127755	0.989959430947316	0.577026350289123	1.26342702740291	"UP"	"control"	"GAPDH"	2597	"ENSG00000111640"
"ENSG00000137818"	0.725432561677828	0.213691833001449	0.989959430947316	0.583390059350654	1.24347775566364	"UP"	"control"	"RPLP1"	6176	"ENSG00000137818"
"ENSG00000293319"	0.675579133754871	0.290689357382094	0.989959430947316	0.639383285549356	1.05661056368469	"UP"	"control"	NA	NA	"ENSG00000293319"
"ENSG00000108518"	0.594973853851988	0.451106060026892	0.989959430947316	0.78953781129822	0.753572337306665	"UP"	"control"	"PFN1"	5216	"ENSG00000108518"
"ENSG00000118181"	0.526796090822186	0.402046739033426	0.989959430947316	0.628656372181879	0.83797144852574	"UP"	"control"	"RPS25"	6230	"ENSG00000118181"
"ENSG00000167996"	0.44902138052132	0.343677527669613	0.989959430947316	0.474189480288729	0.946923960118042	"UP"	"control"	"FTH1"	2495	"ENSG00000167996"
"ENSG00000145425"	0.435346055311515	0.423386203558524	0.989959430947316	0.543801659430421	0.800560365644152	"UP"	"control"	"RPS3A"	6189	"ENSG00000145425"
"ENSG00000083845"	0.429641565863774	0.480294983032116	0.989959430947316	0.608705583180932	0.705828199601164	"UP"	"control"	"RPS5"	6193	"ENSG00000083845"
"ENSG00000198888"	0.401400961053413	0.431201406169673	0.989959430947316	0.509950274842829	0.787137454092222	"UP"	"control"	"MT-ND1"	4535	"ENSG00000198888"
"ENSG00000156482"	0.364419814376664	0.444496663006255	0.989959430947316	0.476601265520706	0.764622003213779	"UP"	"control"	"RPL30"	6156	"ENSG00000156482"
"ENSG00000142937"	0.350608988407335	0.51691516958997	0.989959430947316	0.540973181237606	0.648107892530334	"UP"	"control"	"RPS8"	6202	"ENSG00000142937"
"ENSG00000265681"	0.31424877594489	0.524621457466974	0.989959430947316	0.493917195532197	0.636237771811702	"UP"	"control"	"RPL17"	6139	"ENSG00000265681"
"ENSG00000149806"	0.29208159674221	0.655250990314237	0.989959430947316	0.654188294677647	0.446479399155459	"UP"	"control"	"FAU"	2197	"ENSG00000149806"
"ENSG00000196262"	0.289192526610688	0.59789273873169	0.989959430947316	0.548301630423088	0.527433278627198	"UP"	"control"	"PPIA"	5478	"ENSG00000196262"
"ENSG00000198242"	0.288593361055419	0.550523106659963	0.989959430947316	0.48342503816459	0.596976445719725	"UP"	"control"	"RPL23A"	6147	"ENSG00000198242"
"ENSG00000105193"	0.282887332761235	0.533835120619644	0.989959430947316	0.454684108034977	0.622162349117056	"UP"	"control"	"RPS16"	6217	"ENSG00000105193"
"ENSG00000241343"	0.271364180393457	0.657826138275552	0.989959430947316	0.612675719813079	0.442916491739297	"UP"	"control"	"RPL36A"	6173	"ENSG00000241343"
"ENSG00000136942"	0.267884253355514	0.589416223927085	0.989959430947316	0.496374084489339	0.539682190763664	"UP"	"control"	"RPL35"	11224	"ENSG00000136942"
"ENSG00000233927"	0.263834585255869	0.579652337139754	0.989959430947316	0.476328039861703	0.553892618482991	"UP"	"control"	"RPS28"	6234	"ENSG00000233927"
"ENSG00000089009"	0.253323532099978	0.707419703961311	0.989959430947316	0.674946712180523	0.375323751532289	"UP"	"control"	"RPL6"	6128	"ENSG00000089009"
"ENSG00000172809"	0.253317364779437	0.559180399248377	0.989959430947316	0.433718551980686	0.584059325160519	"UP"	"control"	"RPL38"	6169	"ENSG00000172809"
"ENSG00000231500"	-0.253777445127619	0.731587732092447	0.989959430947316	0.739845174035021	-0.343014260326319	"DOWN"	"ki"	"RPS18"	6222	"ENSG00000231500"
"ENSG00000280858"	-0.261374218694381	0.730748547154949	0.989959430947316	0.759521819210549	-0.344129967149667	"DOWN"	"ki"	"RPL7A"	6130	"ENSG00000280858"
"ENSG00000188846"	-0.27211875075913	0.70793173784469	0.989959430947316	0.726356463996564	-0.374635271037414	"DOWN"	"ki"	"RPL14"	9045	"ENSG00000188846"
"ENSG00000116251"	-0.295486647376025	0.678898389027157	0.989959430947316	0.713793028859606	-0.41396684392969	"DOWN"	"ki"	"RPL22"	6146	"ENSG00000116251"
"ENSG00000148303"	-0.303907133695906	0.687066007171592	0.989959430947316	0.754411701636251	-0.402839899005753	"DOWN"	"ki"	"RPL7A"	6130	"ENSG00000148303"
"ENSG00000235650"	-0.306988725807003	0.64282023286815	0.989959430947316	0.661957076808725	-0.463759262589935	"DOWN"	"ki"	"RPS18"	6222	"ENSG00000235650"
"ENSG00000142534"	-0.317517895739931	0.539012769250579	0.989959430947316	0.516872058747916	-0.614306558781867	"DOWN"	"ki"	"RPS11"	6205	"ENSG00000142534"
"ENSG00000105640"	-0.32178111868841	0.469330176409744	0.989959430947316	0.444713596191209	-0.723569329663707	"DOWN"	"ki"	"RPL18A"	6142	"ENSG00000105640"
"ENSG00000174748"	-0.342665825616276	0.537471423256677	0.989959430947316	0.555697274557451	-0.616641184517541	"DOWN"	"ki"	"RPL15"	6138	"ENSG00000174748"
"ENSG00000196531"	-0.347726885329676	0.650869669664352	0.989959430947316	0.768364900041098	-0.452554359668273	"DOWN"	"ki"	"NACA"	4666	"ENSG00000196531"
"ENSG00000145592"	-0.364475233402878	0.407550494961017	0.989959430947316	0.440074846857293	-0.828211918962661	"DOWN"	"ki"	"RPL37"	6167	"ENSG00000145592"
"ENSG00000008988"	-0.396443834583131	0.36504003954446	0.989959430947316	0.437671058094284	-0.90580317626972	"DOWN"	"ki"	"RPS20"	6224	"ENSG00000008988"
"ENSG00000156508"	-0.442411926495752	0.316356027432569	0.989959430947316	0.441540213768404	-1.00197425443972	"DOWN"	"ki"	"EEF1A1"	1915	"ENSG00000156508"
"ENSG00000122406"	-0.452583736173427	0.508719620481321	0.989959430947316	0.684868874909271	-0.660832683093363	"DOWN"	"ki"	"RPL5"	6125	"ENSG00000122406"
"ENSG00000198918"	-0.454894588067504	0.371826784863447	0.989959430947316	0.509368066679086	-0.893056745848379	"DOWN"	"ki"	"RPL39"	6170	"ENSG00000198918"
"ENSG00000221983"	-0.460045239389117	0.422470838626756	0.989959430947316	0.57352096718587	-0.802141971629126	"DOWN"	"ki"	"UBA52"	7311	"ENSG00000221983"
"ENSG00000197958"	-0.583729095567865	0.200825436196714	0.989959430947316	0.4563223425469	-1.27920340763913	"DOWN"	"ki"	"RPL12"	6136	"ENSG00000197958"
